temp_1,temp_2,temp_3,temp_4,temp_5,action_1,action_2,action_3,action_4,action_5,phase,reward,timestep
200.8079441257795,177.29728561971163,222.34766874129332,199.89415234833928,261.9982391406593,0,0,1,3,0,warmup,,169
199.7969251609323,176.70226530712807,223.5829937714907,199.53989427843706,260.91572429687767,0,2,1,0,0,warmup,,170
198.6941125696505,176.05677923986272,224.8170182386576,198.99406855494703,259.7706678944367,0,0,1,2,0,warmup,,171
197.5973407545325,175.3386988023294,226.0496927176953,198.22156258290192,258.59715015651966,0,2,1,0,0,warmup,,172
196.58817798354636,174.95570211628106,227.28096020273873,197.4303269152803,257.64149213819303,0,0,1,2,0,warmup,,173
195.74780278719723,174.8886222024483,228.51088406464487,197.00771197230708,256.59396263471245,0,1,1,0,0,warmup,,174
194.97602965112364,175.41026956337893,229.73960356397032,196.93259187451685,255.5470811578561,3,1,1,1,0,warmup,,175
194.49164902083578,176.28463054370533,230.90622039519224,197.5050265111974,254.50091916899967,0,1,1,1,0,warmup,,176
194.01642072987315,177.54157364765553,232.2431183981853,198.46536970832267,253.45560294454685,3,1,1,1,0,warmup,,177
193.4964247390295,178.82717495294656,233.48318422271194,199.84646271313386,252.411210403224,0,1,1,1,0,warmup,,178
193.00140546615938,180.05923973795208,234.757651918553,201.25893009173257,251.367825331782,3,1,1,1,0,warmup,,179
192.6086861816413,181.21918833047096,235.77993989306069,202.6734836367322,250.32545270207495,0,1,1,1,0,warmup,,180
192.66855090864905,182.39166325571196,236.72018888088655,203.83743757883886,249.2840923188864,1,1,2,1,0,warmup,,181
193.1490966854512,183.5950866007243,237.36573538751762,205.1111852799271,248.24369445455363,1,1,1,1,0,warmup,,182
193.95297429973434,184.62449272590862,237.97232379777105,206.38370702473293,247.20427930949353,1,1,2,1,0,warmup,,183
194.90355342407588,185.4235501734129,238.35134876379203,207.65499722523867,246.16584625149744,1,2,1,1,0,warmup,,184
195.79792292606632,186.04192510576976,238.87557108358482,208.9250108577037,245.1283950664411,2,1,2,1,0,warmup,,185
196.4341968955664,186.59288337440682,239.59017732831703,210.19377877561894,244.0919233846489,1,2,1,1,0,warmup,,186
196.844302672708,187.21076011756386,240.31026328857297,211.4613411798939,243.05643094508704,2,1,2,1,0,warmup,,187
197.391980635826,188.00853587088497,240.67590333847252,212.6666135076579,242.02191705496045,1,1,1,1,0,warmup,,188
197.91507800647818,189.0354795065705,240.73124802170665,214.041707757135,240.9883680950055,2,1,0,1,0,warmup,,189
198.28540299147272,190.2347755745214,240.18636426687414,215.31929737196515,239.95581807288542,1,1,0,1,0,warmup,,190
198.3461654239669,191.34562012395247,239.28934203702283,216.63040712456035,238.9242460311033,0,1,0,1,0,warmup,,191
197.906558821163,192.69812650783626,237.9655766714896,217.69970043593932,237.89365864862452,0,1,0,1,0,warmup,,192
197.17325925033649,193.8062336098255,236.62869915435968,218.65425306751519,236.86400634580332,0,1,0,2,0,warmup,,193
196.08399887022907,195.00026731382158,235.25845167967492,219.3309410703443,235.83526590318948,0,1,0,1,0,warmup,,194
194.98341640398115,195.91879178678656,234.150444001671,219.96118851541377,234.8073805795422,0,1,0,2,0,warmup,,195
193.90553860319358,196.7877513022847,232.93288503817544,220.398236736865,233.780341018935,0,2,0,1,0,warmup,,196
192.90325039558368,197.59892723805504,231.7166821565048,221.02635959013412,232.75410776923627,0,1,0,3,0,warmup,,197
191.8895014818359,198.24100375949598,230.50186230209104,221.88065914452002,231.72871846833712,0,2,0,1,0,warmup,,198
190.8474364678732,198.59188443580805,229.28843599361346,222.7531781531447,230.70421781955298,0,1,0,3,0,warmup,,199
190.01580728133453,198.57250913005214,228.0763447124249,223.25661157539145,229.68060885868837,0,0,0,1,0,warmup,,200
189.2527832815534,198.1621814792262,226.86544222717174,223.41206556413997,228.65781728554384,3,0,0,0,0,warmup,,201
188.7769592054369,197.37527159394645,225.6555779408802,222.91948314557104,227.6357721515411,0,0,0,0,0,warmup,,202
188.3099494519201,196.19961129876125,224.44654705093816,222.0995836790756,226.61434476343274,3,0,0,0,0,warmup,,203
187.79767920451405,195.0112300337438,223.23820463004498,220.68738056617246,225.593467831125,0,0,0,0,0,warmup,,204
187.25898105687858,193.7917692756893,222.0304303882593,219.33949494204225,224.57302324145257,3,0,0,0,0,warmup,,205
187.01556176683587,192.80999603023216,220.82322911975373,217.9540798009474,223.55302315170704,0,0,0,0,0,warmup,,206
187.00160053600575,191.72803492675553,219.61664160489912,217.05903810437624,222.53346071536396,1,0,0,0,0,warmup,,207
187.51713577100728,190.64680306136665,218.4107434279314,216.16680429345882,221.56533654297112,1,0,0,3,0,warmup,,208
188.11672965756443,189.5664066062387,217.20553657925566,215.55147144393632,220.45517860128723,1,0,0,0,0,warmup,,209
189.0043549612535,188.48686153859748,216.00107545928822,214.98158050691544,219.42573512514025,2,0,0,3,0,warmup,,210
189.61671880693356,187.40822470003675,214.7973680317362,214.60396088859005,218.36774286370402,1,0,0,0,0,warmup,,211
190.24895467008412,186.33043968745628,213.59445275851147,213.98453764730672,217.51062401554205,2,0,0,2,0,warmup,,212
190.70868984301427,185.2535106621125,212.3922807984986,213.27743649295275,216.74840494248537,1,0,0,0,3,warmup,,213
191.23591463333634,184.17740280067187,211.19083389516703,212.41177575976943,216.26792634145949,2,0,0,2,0,warmup,,214
191.60994371969664,183.1021284420656,209.9900800205469,212.11395738766984,215.6828690738773,1,0,0,0,3,warmup,,215
191.6739527947917,182.08318936709466,208.85121809425232,211.86208114008042,215.28748936535794,0,0,0,1,0,warmup,,216
191.23716438637243,180.90946134209116,207.54208629857334,212.22604407266078,214.84578191385074,0,0,0,3,2,warmup,,217
190.50617475847733,179.82377667310828,206.33004261275502,212.48634672724432,214.2938050659553,0,0,0,1,0,warmup,,218
189.41878516403898,178.70687670549677,205.08393877008857,213.05430957362475,213.9657847090662,0,0,0,0,1,warmup,,219
188.3196100770789,177.80892446369037,204.09040985651686,213.2149060570523,213.90022555330967,0,0,0,1,0,warmup,,220
187.19186975010007,177.01436870218,203.17926068335615,213.43460772582517,214.11749724661223,0,3,3,0,1,warmup,,221
186.28195468688963,176.47151397290034,202.55182744578875,213.19300998326773,214.61828925342937,0,0,0,1,1,warmup,,222
185.28018512036718,175.9700691575534,201.99534958529367,213.30261232856216,215.10221312273748,0,3,3,0,2,warmup,,223
184.2790162628494,175.5879623363133,201.59920703552453,213.1971487006789,215.60761844327035,0,0,0,1,1,warmup,,224
183.2784719008986,175.0861595793399,201.09318432100628,213.41670943347705,216.19163114540217,0,2,3,0,2,warmup,,225
182.27852750365224,174.62835508111746,200.58262457842235,213.25009449567256,216.90206169101785,0,0,0,1,1,warmup,,226
181.27919155071956,173.9715818470582,199.90567738609857,213.40857731179372,217.54765241940459,0,2,2,0,1,warmup,,227
180.28042382830762,173.28365500002442,199.44851163744752,213.35195797094084,218.33703687236985,0,0,0,1,1,warmup,,228
179.2822175489143,172.54902792921237,198.71153897258966,213.58537833603725,219.0740264393257,0,2,2,0,2,warmup,,229
178.28456308595284,172.17203202713137,197.9405749736465,213.46758090115136,219.61618272480266,0,0,0,1,1,warmup,,230
177.33843647033422,172.11644061632546,197.11847923661443,213.54535965086168,220.17644725531554,0,1,2,0,2,warmup,,231
176.25042726438343,172.56480710572706,196.6901752093575,212.9843487480916,220.6553492467734,0,1,0,2,1,warmup,,232
175.2433292452377,173.53133366710443,196.6157921337251,212.5007348753498,221.3499191071003,0,1,1,0,1,warmup,,233
174.20797466072494,174.79266710464762,197.15734833756142,211.86823561550136,222.25446741011015,0,1,1,2,1,warmup,,234
173.3832324689317,176.11418812173505,198.09825529003086,211.52209523129952,223.31698673031053,0,1,1,0,1,warmup,,235
172.6273600550745,177.26439349140392,199.46006484294466,211.05241744049906,224.34953805237572,3,1,1,1,1,warmup,,236
172.10808950889015,177.95732747333741,200.7922781893872,210.826853220015,225.46133315212063,0,2,1,0,1,warmup,,237
171.74049338437305,178.57035096616406,202.2977384096073,210.08727584398278,226.42977074541656,3,1,1,0,1,warmup,,238
171.2063870594772,179.11590613225943,203.45642531280512,209.26179483281618,227.44828734053695,0,2,1,0,1,warmup,,239
170.75002965507107,179.72823988488372,204.7598591966749,208.04203837938385,228.46592605604275,3,1,1,0,1,warmup,,240
